,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
302,yellowknife,5.0,CA,1551922964.0,78.0,62.45,-114.38,10.99,8.05
304,santa isabel do rio negro,8.0,BR,1551923112.0,72.0,-0.41,-65.02,82.34,6.31
305,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
306,hermanus,68.0,ZA,1551922280.0,94.0,-34.42,19.24,64.0,1.01
307,san patricio,5.0,MX,1551919200.0,73.0,19.22,-104.7,77.0,9.17
308,provideniya,0.0,RU,1551920400.0,57.0,64.42,-173.23,23.0,2.24
309,kamenka,0.0,RU,1551923113.0,71.0,53.19,44.05,6.16,6.64
310,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
311,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
312,butaritari,64.0,KI,1551923070.0,100.0,3.07,172.79,79.87,11.79
313,victoria,75.0,SC,1551920400.0,78.0,-4.62,55.45,82.4,8.05
314,pospelikha,8.0,RU,1551923113.0,78.0,51.99,81.83,8.68,7.2
315,jamestown,92.0,SH,1551923031.0,100.0,-15.94,-5.72,75.95,11.79
316,dakar,0.0,SN,1551920400.0,77.0,14.69,-17.45,64.4,20.8
317,east london,0.0,ZA,1551923114.0,100.0,-33.02,27.91,75.37,23.2
318,batagay-alyta,0.0,RU,1551923114.0,78.0,67.8,130.41,2.2,4.07
319,hualmay,56.0,PE,1551923115.0,91.0,-11.1,-77.61,68.53,4.18
321,dikson,48.0,RU,1551923115.0,89.0,73.51,80.55,1.25,26.78
322,qaanaaq,64.0,GL,1551923039.0,91.0,77.48,-69.36,-2.08,3.51
323,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
325,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
326,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
327,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
328,wloszczowa,8.0,PL,1551923109.0,61.0,50.85,19.97,41.0,4.0
329,ponta do sol,20.0,CV,1551920400.0,68.0,17.2,-25.09,68.0,19.46
330,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
331,ponta do sol,20.0,CV,1551920400.0,68.0,17.2,-25.09,68.0,19.46
332,port lincoln,0.0,AU,1551923117.0,80.0,-34.72,135.86,68.71,11.79
333,sitka,0.0,US,1551923115.0,50.0,37.17,-99.65,43.0,5.01
334,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
335,cape town,20.0,ZA,1551923021.0,82.0,-33.93,18.42,66.99,4.7
336,isangel,75.0,VU,1551920400.0,74.0,-19.55,169.27,86.0,9.17
337,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
338,saint-philippe,76.0,RE,1551922860.0,73.0,-21.36,55.77,75.2,5.82
339,cidreira,24.0,BR,1551923119.0,89.0,-30.17,-50.22,76.09,9.22
340,kaitangata,100.0,NZ,1551923086.0,42.0,-46.28,169.85,71.01,4.0
342,jamestown,92.0,SH,1551923031.0,100.0,-15.94,-5.72,75.95,11.79
343,port lincoln,0.0,AU,1551923117.0,80.0,-34.72,135.86,68.71,11.79
344,medyn,0.0,RU,1551920400.0,92.0,54.97,35.86,5.0,2.24
345,drovyanaya,0.0,RU,1551920400.0,72.0,51.58,113.05,12.2,3.74
346,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
347,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
348,kannangad,0.0,IN,1551923120.0,95.0,12.31,75.11,77.12,8.77
349,ostrovnoy,32.0,RU,1551923121.0,80.0,68.05,39.51,7.24,17.05
350,jamestown,92.0,SH,1551923031.0,100.0,-15.94,-5.72,75.95,11.79
352,saint-philippe,76.0,RE,1551922860.0,73.0,-21.36,55.77,75.2,5.82
353,kikwit,8.0,CD,1551923121.0,89.0,-5.04,18.82,72.89,2.73
354,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
355,avarua,88.0,CK,1551920400.0,66.0,-21.21,-159.78,84.2,19.46
356,caxito,20.0,AO,1551920400.0,88.0,-8.58,13.66,78.8,5.82
357,guerrero negro,0.0,MX,1551923039.0,82.0,27.97,-114.04,60.02,5.75
358,kletskaya,56.0,RU,1551922397.0,79.0,49.31,43.06,28.0,5.99
360,chuy,12.0,UY,1551922754.0,92.0,-33.69,-53.46,74.74,11.45
362,hithadhoo,88.0,MV,1551923123.0,100.0,-0.6,73.08,82.84,5.08
363,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
364,talcahuano,90.0,CL,1551920400.0,87.0,-36.72,-73.12,60.8,9.17
365,berndorf,0.0,AT,1551923110.0,57.0,47.95,16.11,45.0,10.29
366,new norfolk,40.0,AU,1551922994.0,42.0,-42.78,147.06,64.0,12.75
367,tuktoyaktuk,90.0,CA,1551920400.0,77.0,69.44,-133.03,5.0,4.7
368,victoria,75.0,SC,1551920400.0,78.0,-4.62,55.45,82.4,8.05
369,diamantino,24.0,BR,1551923125.0,89.0,-14.4,-56.44,74.6,3.62
370,mar del plata,92.0,AR,1551923100.0,92.0,-46.43,-67.52,52.69,11.9
371,eenhana,88.0,NA,1551920400.0,54.0,-17.48,16.34,78.8,3.36
372,misratah,0.0,LY,1551923125.0,92.0,32.38,15.09,53.68,11.45
373,ribeira grande,88.0,PT,1551923056.0,95.0,38.52,-28.7,62.0,19.62
374,lebu,92.0,CL,1551922986.0,88.0,-37.62,-73.65,60.16,18.5
375,pangoa,56.0,PE,1551923126.0,96.0,-12.12,-73.0,68.44,1.72
377,broome,20.0,AU,1551920400.0,70.0,-17.97,122.23,89.6,8.05
378,nayudupeta,20.0,IN,1551920400.0,83.0,13.91,79.9,82.4,9.17
379,opuwo,0.0,NA,1551923126.0,66.0,-18.06,13.84,58.99,3.4
380,santiago del estero,56.0,AR,1551923127.0,92.0,-27.8,-64.26,72.85,3.62
381,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
383,kodiak,1.0,US,1551923023.0,67.0,39.95,-94.76,32.0,4.7
384,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
385,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
386,port alfred,36.0,ZA,1551922937.0,87.0,-33.59,26.89,71.01,5.99
387,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
388,balabac,36.0,PH,1551923128.0,98.0,7.99,117.06,81.58,12.12
389,takoradi,36.0,GH,1551923128.0,99.0,4.89,-1.75,82.66,9.33
390,emerald,0.0,AU,1551922610.0,46.0,-23.53,148.16,95.0,4.7
391,kodiak,1.0,US,1551923023.0,67.0,39.95,-94.76,32.0,4.7
392,necochea,0.0,AR,1551922689.0,79.0,-38.55,-58.74,77.0,3.0
394,taunggyi,0.0,MM,1551923129.0,57.0,20.78,97.03,73.52,4.07
395,zhezkazgan,0.0,KZ,1551920400.0,91.0,47.8,67.71,3.2,6.71
396,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
397,albany,75.0,AU,1551921480.0,100.0,-35.02,117.88,64.4,4.7
398,fortuna,90.0,US,1551923104.0,100.0,40.6,-124.16,46.99,12.75
399,leningradskiy,80.0,RU,1551923130.0,100.0,69.38,178.42,8.68,4.85
400,khatanga,56.0,RU,1551923047.0,77.0,71.98,102.47,-0.78,12.01
401,ancud,75.0,CL,1551920400.0,82.0,-41.87,-73.83,55.4,4.7
402,tilichiki,64.0,RU,1551923131.0,85.0,60.47,166.1,23.26,9.66
403,puerto carreno,75.0,CO,1551920400.0,74.0,6.19,-67.49,84.2,2.51
405,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
406,tornio,90.0,FI,1551923128.0,92.0,61.12,27.27,24.01,8.05
407,klaksvik,44.0,FO,1551921600.0,100.0,62.23,-6.59,32.0,3.36
408,bluff,92.0,NZ,1551922806.0,92.0,-46.6,168.33,55.0,14.0
409,jackson,1.0,US,1551922883.0,47.0,35.61,-88.82,35.01,1.95
410,albany,75.0,AU,1551921480.0,100.0,-35.02,117.88,64.4,4.7
411,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
412,pangnirtung,44.0,CA,1551923133.0,67.0,66.15,-65.72,-9.87,6.42
413,henties bay,48.0,NA,1551920584.0,91.0,-22.12,14.28,64.99,3.0
415,moron,0.0,MN,1551923134.0,34.0,47.38,110.32,35.77,12.8
416,kruisfontein,68.0,ZA,1551923134.0,88.0,-34.0,24.73,66.77,17.72
417,whitehorse,5.0,CA,1551923117.0,37.0,60.72,-135.06,19.4,2.24
419,jiangyou,92.0,CN,1551923135.0,100.0,31.78,104.73,43.1,7.54
420,palmer,75.0,US,1551923123.0,55.0,61.6,-149.11,37.4,2.17
421,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
422,wellington,0.0,NZ,1551922821.0,56.0,-41.29,174.78,75.0,29.97
424,nanortalik,88.0,GL,1551923136.0,93.0,60.14,-45.24,31.9,14.7
425,eyl,0.0,SO,1551923136.0,100.0,7.98,49.82,71.68,8.66
426,port elizabeth,0.0,ZA,1551922380.0,77.0,-33.92,25.57,69.8,27.51
427,cabo san lucas,75.0,MX,1551922828.0,43.0,22.89,-109.91,75.2,6.2
428,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
429,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
430,nome,40.0,US,1551923058.0,57.0,30.04,-94.42,53.01,5.82
431,fairbanks,90.0,US,1551923045.0,79.0,64.84,-147.72,26.01,2.39
432,santa maria,64.0,BR,1551922955.0,85.0,-29.69,-53.81,74.38,6.64
433,hobyo,0.0,SO,1551923138.0,89.0,5.35,48.53,76.36,12.12
435,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
436,castro,75.0,CL,1551920400.0,82.0,-42.48,-73.76,55.4,4.7
437,touros,40.0,BR,1551920400.0,83.0,-5.2,-35.46,80.6,6.93
438,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
440,pascagoula,1.0,US,1551923124.0,65.0,30.37,-88.56,48.2,2.62
441,verkhoyansk,56.0,RU,1551923140.0,80.0,67.55,133.39,-5.68,3.74
442,bluff,92.0,NZ,1551922806.0,92.0,-46.6,168.33,55.0,14.0
443,lebu,92.0,CL,1551922986.0,88.0,-37.62,-73.65,60.16,18.5
445,port alfred,36.0,ZA,1551922937.0,87.0,-33.59,26.89,71.01,5.99
446,bluff,92.0,NZ,1551922806.0,92.0,-46.6,168.33,55.0,14.0
447,karratha,0.0,AU,1551923140.0,30.0,-20.74,116.85,97.96,4.41
448,tiksi,68.0,RU,1551923069.0,79.0,71.64,128.87,11.69,3.4
449,yellowknife,5.0,CA,1551922964.0,78.0,62.45,-114.38,10.99,8.05
451,bethel,90.0,US,1551920160.0,86.0,60.79,-161.76,32.0,6.93
452,bethel,90.0,US,1551920160.0,86.0,60.79,-161.76,32.0,6.93
453,puerto ayora,0.0,EC,1551923074.0,98.0,-0.74,-90.35,80.99,9.44
455,korla,0.0,CN,1551923142.0,45.0,41.76,86.15,37.12,3.96
456,mishkino,75.0,RU,1551920400.0,66.0,56.22,46.62,14.0,13.42
457,east london,0.0,ZA,1551923114.0,100.0,-33.02,27.91,75.37,23.2
458,caravelas,76.0,BR,1551923142.0,100.0,-17.73,-39.27,84.14,10.67
459,yining,92.0,CN,1551923143.0,59.0,29.04,114.56,49.09,3.29
460,middelburg,0.0,ZA,1551923143.0,88.0,-25.77,29.46,52.96,4.18
461,saldanha,92.0,ZA,1551920400.0,82.0,-33.01,17.94,60.8,1.12
462,new norfolk,40.0,AU,1551922994.0,42.0,-42.78,147.06,64.0,12.75
463,sovetskiy,0.0,RU,1551923143.0,75.0,56.76,48.47,9.4,13.8
464,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
465,nhulunbuy,0.0,AU,1551920400.0,66.0,-12.18,136.78,87.8,8.05
466,tias,20.0,ES,1551920400.0,72.0,28.96,-13.65,62.6,4.7
467,east london,0.0,ZA,1551923114.0,100.0,-33.02,27.91,75.37,23.2
469,tuktoyaktuk,90.0,CA,1551920400.0,77.0,69.44,-133.03,5.0,4.7
471,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
472,mingaora,88.0,PK,1551923136.0,99.0,34.78,72.36,36.76,1.83
473,ahuimanu,75.0,US,1551923123.0,93.0,21.44,-157.84,77.0,14.7
474,carnarvon,80.0,AU,1551920400.0,58.0,-24.87,113.63,84.2,12.75
475,rabaul,56.0,PG,1551923146.0,100.0,-4.2,152.17,81.89,1.72
476,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
477,fukue,40.0,JP,1551923052.0,66.0,35.03,136.69,62.01,25.28
478,maine-soroa,0.0,NE,1551923146.0,25.0,13.21,12.02,70.24,10.22
479,saskylakh,64.0,RU,1551923091.0,78.0,71.97,114.09,-4.38,14.7
481,esperance,88.0,AU,1551920400.0,36.0,-33.86,121.89,75.2,12.75
482,saskylakh,64.0,RU,1551923091.0,78.0,71.97,114.09,-4.38,14.7
483,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
484,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
485,nikolskoye,0.0,RU,1551922210.0,62.0,59.7,30.79,21.2,6.71
486,strezhevoy,90.0,RU,1551920400.0,86.0,60.73,77.6,26.6,15.66
487,grand-santi,80.0,GF,1551923148.0,91.0,4.27,-54.38,75.28,3.62
488,albany,75.0,AU,1551921480.0,100.0,-35.02,117.88,64.4,4.7
489,puerto ayora,0.0,EC,1551923074.0,98.0,-0.74,-90.35,80.99,9.44
490,hermanus,68.0,ZA,1551922280.0,94.0,-34.42,19.24,64.0,1.01
493,upernavik,0.0,GL,1551923040.0,100.0,72.79,-56.15,3.46,19.51
494,castro,75.0,CL,1551920400.0,82.0,-42.48,-73.76,55.4,4.7
495,rajo khanani,0.0,PK,1551923149.0,71.0,24.98,68.85,64.57,9.55
497,hofn,92.0,IS,1551922761.0,100.0,64.25,-15.21,35.14,19.39
498,saskylakh,64.0,RU,1551923091.0,78.0,71.97,114.09,-4.38,14.7
499,vangaindrano,0.0,MG,1551923150.0,98.0,-23.35,47.6,65.74,2.51
500,beringovskiy,88.0,RU,1551923150.0,99.0,63.05,179.32,24.7,18.61
501,vostok,8.0,RU,1551923150.0,50.0,46.45,135.83,27.76,2.95
503,jamestown,92.0,SH,1551923031.0,100.0,-15.94,-5.72,75.95,11.79
504,kaseda,20.0,JP,1551922984.0,58.0,31.42,130.32,55.99,18.34
505,pevek,80.0,RU,1551923039.0,93.0,69.7,170.27,3.01,2.62
506,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
507,mayo,5.0,CA,1551920400.0,40.0,63.59,-135.9,15.8,2.24
508,esperance,88.0,AU,1551920400.0,36.0,-33.86,121.89,75.2,12.75
509,tuyen quang,92.0,VN,1551923152.0,100.0,21.82,105.22,65.11,3.62
510,fare,48.0,PF,1551923152.0,97.0,-16.7,-151.02,84.64,13.02
511,arman,36.0,RU,1551923152.0,67.0,59.7,150.17,14.84,3.74
512,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
513,saint-francois,0.0,GP,1551920400.0,83.0,16.25,-61.27,73.4,4.7
514,chapais,1.0,CA,1551920400.0,76.0,49.78,-74.86,-7.61,4.7
515,barrow,90.0,US,1551923045.0,70.0,39.51,-90.4,32.0,4.7
516,nevel,12.0,RU,1551923154.0,85.0,56.02,29.92,16.37,13.02
517,vila velha,40.0,BR,1551922810.0,88.0,-3.71,-38.6,79.0,4.7
518,opuwo,0.0,NA,1551923126.0,66.0,-18.06,13.84,58.99,3.4
519,santa cruz de tenerife,68.0,ES,1551922886.0,93.0,28.47,-16.25,64.0,16.11
520,guerrero negro,0.0,MX,1551923039.0,82.0,27.97,-114.04,60.02,5.75
521,college,90.0,US,1551923145.0,79.0,64.86,-147.8,26.01,2.39
523,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
524,boshnyakovo,0.0,RU,1551923155.0,73.0,49.65,142.17,19.57,3.96
525,nikki,12.0,BJ,1551923155.0,74.0,9.94,3.21,70.69,4.74
526,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
527,naifaru,92.0,MV,1551923156.0,100.0,5.44,73.37,81.76,5.64
528,kaitangata,100.0,NZ,1551923086.0,42.0,-46.28,169.85,71.01,4.0
529,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
532,te anau,64.0,NZ,1551923156.0,61.0,-45.41,167.72,63.17,18.61
533,denpasar,75.0,ID,1551920400.0,79.0,-8.65,115.22,84.2,8.05
534,port lincoln,0.0,AU,1551923117.0,80.0,-34.72,135.86,68.71,11.79
535,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
536,kaitangata,100.0,NZ,1551923086.0,42.0,-46.28,169.85,71.01,4.0
537,kaitangata,100.0,NZ,1551923086.0,42.0,-46.28,169.85,71.01,4.0
538,tuktoyaktuk,90.0,CA,1551920400.0,77.0,69.44,-133.03,5.0,4.7
539,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
540,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
541,necochea,0.0,AR,1551922689.0,79.0,-38.55,-58.74,77.0,3.0
542,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
544,mar del plata,92.0,AR,1551923100.0,92.0,-46.43,-67.52,52.69,11.9
545,ancud,75.0,CL,1551920400.0,82.0,-41.87,-73.83,55.4,4.7
546,saskylakh,64.0,RU,1551923091.0,78.0,71.97,114.09,-4.38,14.7
547,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
548,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
549,ucluelet,40.0,CA,1551922177.0,52.0,48.94,-125.55,42.8,6.93
550,raudeberg,76.0,NO,1551923106.0,65.0,61.99,5.14,41.0,10.29
551,bredasdorp,56.0,ZA,1551922280.0,87.0,-34.53,20.04,60.8,6.93
552,saldanha,92.0,ZA,1551920400.0,82.0,-33.01,17.94,60.8,1.12
553,provideniya,0.0,RU,1551920400.0,57.0,64.42,-173.23,23.0,2.24
554,avarua,88.0,CK,1551920400.0,66.0,-21.21,-159.78,84.2,19.46
555,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
556,jumla,0.0,NP,1551923163.0,68.0,29.28,82.18,19.3,1.39
557,quatre cocos,40.0,MU,1551923044.0,83.0,-20.21,57.76,77.0,5.19
558,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
560,bethel,90.0,US,1551920160.0,86.0,60.79,-161.76,32.0,6.93
561,norman wells,40.0,CA,1551920400.0,47.0,65.28,-126.83,15.8,2.24
562,lastoursville,92.0,GA,1551923164.0,98.0,-0.81,12.73,73.12,2.17
564,severo-kurilsk,56.0,RU,1551923164.0,100.0,50.68,156.12,25.69,16.71
565,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
566,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
568,champerico,0.0,GT,1551923165.0,89.0,14.3,-91.92,77.8,5.08
569,bredasdorp,56.0,ZA,1551922280.0,87.0,-34.53,20.04,60.8,6.93
570,villa carlos paz,40.0,AR,1551923150.0,100.0,-31.42,-64.5,75.0,5.82
571,shizunai,68.0,JP,1551923166.0,88.0,42.33,142.37,31.85,3.4
572,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
573,cape town,20.0,ZA,1551923021.0,82.0,-33.93,18.42,66.99,4.7
574,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
575,mar del plata,92.0,AR,1551923100.0,92.0,-46.43,-67.52,52.69,11.9
576,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
577,santa rosa,20.0,AR,1551923168.0,62.0,-36.62,-64.29,78.34,13.47
578,podyuga,32.0,RU,1551923168.0,84.0,61.09,40.86,12.1,17.27
579,albany,75.0,AU,1551921480.0,100.0,-35.02,117.88,64.4,4.7
580,sola,44.0,VU,1551923168.0,100.0,-13.88,167.55,81.22,3.4
581,butaritari,64.0,KI,1551923070.0,100.0,3.07,172.79,79.87,11.79
582,emirdag,100.0,TR,1551923169.0,96.0,39.02,31.15,37.3,6.2
584,senneterre,5.0,CA,1551920400.0,83.0,48.39,-77.24,-5.81,3.36
585,saint-philippe,76.0,RE,1551922860.0,73.0,-21.36,55.77,75.2,5.82
586,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
587,arraial do cabo,24.0,BR,1551923027.0,88.0,-22.97,-42.02,80.59,12.8
588,carnarvon,80.0,AU,1551920400.0,58.0,-24.87,113.63,84.2,12.75
589,strathmore,90.0,CA,1551923100.0,71.0,51.04,-113.4,8.01,18.34
590,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
591,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
592,virginia beach,1.0,US,1551923171.0,58.0,36.85,-75.98,36.0,3.18
593,umm lajj,0.0,SA,1551923174.0,100.0,25.02,37.27,58.9,7.31
594,chunian,44.0,PK,1551923174.0,85.0,30.96,73.98,55.57,13.24
595,mammaste,0.0,EE,1551922876.0,73.0,58.07,27.05,27.0,6.93
597,belyy yar,0.0,RU,1551920400.0,85.0,53.6,91.39,14.0,4.97
598,abay,90.0,KZ,1551920400.0,92.0,49.63,72.87,5.0,6.71
599,half moon bay,90.0,US,1551923164.0,87.0,37.46,-122.43,55.99,14.99
